o_cbg,d_cbg,flow_w,Predict_flow
270190906011.0,270530262071.0,3.0,7.0
270370607451.0,270370607171.0,4.0,0.0
270530230001.0,270530262071.0,2.0,0.0
270030502082.0,270030502252.0,5.0,0.0
271630710103.0,271630710101.0,5.0,0.0
270530241003.0,270530244002.0,2.0,0.0
270030506093.0,270030507123.0,2.0,0.0
270530240051.0,270530257013.0,2.0,0.0
270370601051.0,270370605083.0,2.0,0.0
270030506093.0,270030511021.0,2.0,0.0
270190906011.0,270530260191.0,5.0,0.0
270530202003.0,270539800001.0,2.0,0.0
270530240041.0,270530251002.0,3.0,0.0
271630712073.0,271630710161.0,2.0,0.0
271390803021.0,270530260202.0,4.0,0.0
271230305003.0,271630712092.0,2.0,0.0
270530260073.0,270190906011.0,8.0,0.0
270190904012.0,270190910004.0,2.0,0.0
271630702031.0,270030502321.0,2.0,0.0
270530267081.0,270530267131.0,6.0,0.0
270030504012.0,270030505011.0,2.0,0.0
270190903013.0,270190905011.0,5.0,0.0
271390803023.0,271390812002.0,8.0,0.0
270370607253.0,270370607171.0,4.0,0.0
271390803021.0,271390808001.0,7.0,0.0
271630710101.0,270030502321.0,2.0,0.0
270530267061.0,270530267022.0,2.0,0.0
270530240041.0,270530256051.0,5.0,0.0
270030510012.0,270030507104.0,2.0,0.0
270030502231.0,270030502252.0,2.0,0.0
271630710012.0,271630710153.0,2.0,0.0
270030502192.0,270030501082.0,2.0,0.0
270370604011.0,270370607251.0,2.0,0.0
270030506073.0,270030506021.0,2.0,0.0
270370608251.0,270370608263.0,2.0,0.0
270190906011.0,270530262011.0,5.0,0.0
271230408031.0,271230413021.0,3.0,0.0
270370607111.0,270370608231.0,2.0,0.0
270370607211.0,270370608141.0,11.0,0.0
270530269092.0,270030502231.0,7.0,0.0
270530215031.0,270530215034.0,2.0,10.0
270370601053.0,270370605072.0,2.0,0.0
270030502371.0,270370608113.0,2.0,0.0
270370607271.0,270370607312.0,2.0,9.0
270539800001.0,271230422011.0,2.0,0.0
270370601042.0,271630710031.0,3.0,0.0
270030505053.0,270030504023.0,2.0,0.0
270530269092.0,270530277004.0,2.0,0.0
270530267141.0,270530267151.0,3.0,0.0
270030508053.0,270030505011.0,2.0,0.0
270370601041.0,271230304001.0,2.0,0.0
270030511011.0,270530268123.0,4.0,0.0
270370607272.0,270370607211.0,2.0,0.0
271390802031.0,271390802021.0,4.0,0.0
270030501081.0,270030506093.0,3.0,0.0
270030508112.0,270030508131.0,6.0,0.0
270530265144.0,270530269093.0,2.0,0.0
270530267104.0,270030511011.0,2.0,0.0
271390802041.0,271390812001.0,2.0,0.0
270530270022.0,270030510011.0,2.0,0.0
270190909001.0,270530275031.0,2.0,0.0
270370605091.0,270370607142.0,2.0,0.0
270530246002.0,270530267105.0,2.0,0.0
270190904022.0,270190904011.0,4.0,0.0
270370607452.0,270370608151.0,6.0,0.0
270030502082.0,270030502213.0,29.0,0.0
270530264042.0,270530267153.0,5.0,0.0
270030505053.0,270030501161.0,2.0,0.0
270530202003.0,270030511011.0,2.0,0.0
270190909002.0,270530273003.0,2.0,0.0
270030502301.0,271630706012.0,2.0,0.0
270530273001.0,270190906011.0,2.0,0.0
270190907012.0,270190909004.0,9.0,0.0
270370608174.0,270370610092.0,3.0,0.0
270030504012.0,270030507071.0,5.0,0.0
271630704042.0,271630705011.0,2.0,0.0
270030513023.0,270539800001.0,2.0,0.0
270530203043.0,271630701031.0,2.0,0.0
271230359001.0,271630712083.0,2.0,0.0
270030508061.0,270030508064.0,5.0,0.0
271230406041.0,271230404022.0,2.0,0.0
270370609051.0,270370608141.0,2.0,0.0
271230413021.0,271630707011.0,3.0,0.0
270030504012.0,270030502231.0,3.0,0.0
270530214001.0,270530219002.0,2.0,0.0
270030510011.0,271230411053.0,3.0,2.0
271230311003.0,271230424022.0,2.0,0.0
270370608263.0,270370608142.0,2.0,0.0
270030507101.0,270030502192.0,2.0,0.0
271230426022.0,271630709062.0,2.0,6.0
270030512022.0,270030512023.0,2.0,0.0
270190906011.0,270530260183.0,4.0,0.0
270530267141.0,270530205002.0,3.0,0.0
270370607414.0,271390809042.0,2.0,0.0
270530202003.0,270530001011.0,3.0,0.0
271230406041.0,271630710171.0,2.0,0.0
270030510011.0,270030508131.0,4.0,0.0
270370607271.0,270370607292.0,4.0,0.0
270370607171.0,270370607291.0,5.0,0.0
270030505011.0,270030511011.0,2.0,0.0
270370611061.0,270370611072.0,5.0,0.0
270030507104.0,270030508131.0,3.0,0.0
271230401001.0,271630702042.0,5.0,0.0
270370607271.0,270370607261.0,2.0,0.0
271630710103.0,271630710061.0,12.0,0.0
270370607102.0,270530246002.0,3.0,0.0
271230418004.0,270030502301.0,2.0,0.0
270190909001.0,270190904022.0,11.0,0.0
270531026001.0,271230407041.0,2.0,0.0
271630706012.0,271230421022.0,2.0,0.0
270530220001.0,270530267153.0,2.0,0.0
270030508112.0,270030509011.0,2.0,0.0
270190910003.0,271390803023.0,4.0,0.0
271630710061.0,271230422022.0,2.0,0.0
270370607291.0,270370607342.0,2.0,0.0
270030508112.0,270030504021.0,2.0,0.0
270190908005.0,270190911002.0,5.0,0.0
270190906011.0,270530262062.0,2.0,0.0
271230424012.0,271230304001.0,2.0,0.0
271630710171.0,271630704042.0,3.0,0.0
270370611061.0,270370614012.0,2.0,0.0
270530265144.0,270530265092.0,4.0,0.0
271630701034.0,270030502103.0,2.0,0.0
270530233002.0,270530234003.0,3.0,1.0
270530267022.0,270530251002.0,2.0,0.0
270030508131.0,270530268123.0,3.0,0.0
270370607301.0,270370607322.0,2.0,14.0
270530085005.0,270530085004.0,2.0,6.0
271630701032.0,271630702051.0,6.0,0.0
270539800001.0,271630710103.0,4.0,0.0
270030507063.0,270030506093.0,5.0,0.0
270530246002.0,270030510022.0,2.0,0.0
270030513022.0,270530084002.0,2.0,0.0
271230406012.0,271230407041.0,2.0,0.0
270030502103.0,270030502192.0,3.0,0.0
270530267071.0,270530268076.0,2.0,0.0
270370608113.0,271390802022.0,2.0,0.0
270030506051.0,270530269092.0,2.0,0.0
270530268123.0,270530268145.0,3.0,0.0
270030512012.0,270530215031.0,2.0,0.0
271630704041.0,271630707011.0,2.0,0.0
270370605083.0,270530240043.0,2.0,0.0
270370607172.0,270370608113.0,3.0,0.0
270030502231.0,270030506093.0,3.0,0.0
270030511023.0,270030512031.0,2.0,0.0
270030509012.0,270530270023.0,2.0,0.0
270030502261.0,270030505054.0,3.0,0.0
270030501102.0,270030502151.0,3.0,0.0
271630701063.0,271630701042.0,2.0,0.0
270530262012.0,270190905011.0,4.0,0.0
270370601042.0,270530260202.0,3.0,0.0
270030506074.0,270030506104.0,2.0,0.0
270530240041.0,270530240042.0,2.0,0.0
270190909004.0,270190907012.0,7.0,0.0
270530262072.0,270530275041.0,2.0,0.0
270530268153.0,270030511011.0,2.0,0.0
271230406044.0,271230421022.0,2.0,0.0
270370605022.0,270370603021.0,2.0,0.0
271630710061.0,271630712063.0,3.0,0.0
270370605051.0,271630710061.0,2.0,0.0
270190903011.0,270190912012.0,7.0,1.0
270530223023.0,270530232002.0,2.0,0.0
270030508161.0,271630701032.0,12.0,0.0
270370607351.0,270370609051.0,3.0,0.0
270370611022.0,270370611083.0,11.0,0.0
270370601023.0,270370601051.0,3.0,0.0
270370607112.0,270370608203.0,15.0,0.0
270530256011.0,270530256053.0,2.0,0.0
270530264042.0,270530215054.0,2.0,0.0
270030508163.0,271230401001.0,2.0,0.0
270190909004.0,270190903012.0,7.0,0.0
271630704063.0,271630710181.0,3.0,0.0
270370607102.0,270370608281.0,7.0,0.0
270530265144.0,270190912012.0,2.0,0.0
270370601051.0,271630703033.0,2.0,0.0
270030502301.0,270030502332.0,3.0,0.0
270370610012.0,270370611062.0,2.0,0.0
271390803021.0,271390812002.0,5.0,0.0
271230317023.0,270370601041.0,2.0,0.0
270030507022.0,270030506091.0,2.0,0.0
271390802021.0,271390803021.0,2.0,0.0
271230425031.0,271230331002.0,2.0,0.0
270370607112.0,270539800001.0,4.0,0.0
270370605072.0,270370605093.0,2.0,0.0
270030512012.0,270030512022.0,2.0,0.0
270370608242.0,270370607332.0,2.0,0.0
271390803023.0,271390802021.0,2.0,0.0
270190907012.0,270530260211.0,2.0,8.0
270030508051.0,270530269092.0,2.0,0.0
271390812001.0,271390812002.0,9.0,0.0
270530240051.0,271230347013.0,2.0,0.0
270030502081.0,270030502242.0,3.0,0.0
270030505014.0,270030506092.0,2.0,0.0
270370607171.0,270370607311.0,6.0,0.0
270370611071.0,270370611021.0,2.0,0.0
271630710103.0,271230347013.0,6.0,0.0
271230406012.0,271230424011.0,2.0,0.0
270030511022.0,270030508112.0,2.0,0.0
270370607412.0,270539800001.0,4.0,0.0
270030502152.0,270030508051.0,5.0,0.0
271630712061.0,271630714001.0,2.0,0.0
270030501102.0,270030506091.0,2.0,0.0
270030508082.0,270030508091.0,3.0,0.0
270030508131.0,270030508192.0,3.0,10.0
270370608203.0,270370608212.0,2.0,0.0
270030502204.0,270030502251.0,5.0,0.0
270530269062.0,270530268204.0,3.0,0.0
270530267104.0,270530270022.0,2.0,0.0
270370601041.0,271230371002.0,2.0,4.0
270370608141.0,270370608211.0,4.0,0.0
270370605062.0,271630712092.0,2.0,0.0
270370607451.0,270370608152.0,21.0,0.0
270030502301.0,270030501111.0,2.0,0.0
270530202007.0,270530202003.0,5.0,0.0
270030502331.0,270030516001.0,2.0,0.0
271230307025.0,271230315002.0,3.0,0.0
270030502204.0,270030501071.0,4.0,0.0
270030502082.0,270030507041.0,5.0,0.0
270530264031.0,270530270012.0,2.0,0.0
270530267022.0,270530267105.0,8.0,0.0
270370607371.0,270370607141.0,3.0,27.0
270370607251.0,270370608291.0,2.0,0.0
270370607303.0,270530266132.0,2.0,0.0
271630701031.0,271630701032.0,14.0,9.0
271390803011.0,271390803021.0,12.0,0.0
270370607162.0,270370607303.0,3.0,0.0
270530229014.0,270530264031.0,2.0,0.0
270030502192.0,270030505054.0,3.0,0.0
270530208041.0,270530215041.0,2.0,0.0
270030502301.0,271230402002.0,7.0,0.0
270190907012.0,270190911001.0,3.0,0.0
270190905011.0,270190905032.0,4.0,0.0
270030501071.0,270030501112.0,2.0,0.0
270030512032.0,270531070002.0,2.0,0.0
270370608151.0,270370607451.0,2.0,0.0
270030504023.0,270030505013.0,3.0,0.0
270530203031.0,270530203012.0,2.0,0.0
270030508082.0,270030511011.0,2.0,0.0
270030502103.0,270030502291.0,3.0,0.0
271630709071.0,271630709121.0,2.0,0.0
270030502331.0,270030501111.0,2.0,0.0
271630710062.0,271630710101.0,8.0,0.0
270370601042.0,271230305003.0,4.0,0.0
270190907013.0,270190910003.0,3.0,0.0
270530241002.0,270530240043.0,2.0,0.0
271230360002.0,271630710181.0,2.0,0.0
270370607391.0,270370606051.0,2.0,0.0
270370611023.0,270370610011.0,2.0,0.0
270030508112.0,270030511021.0,3.0,0.0
270530260071.0,270530260073.0,5.0,0.0
270370608123.0,270370609043.0,2.0,0.0
270370608151.0,270370607441.0,2.0,0.0
270030508163.0,270030502331.0,6.0,0.0
270030502151.0,270530268203.0,2.0,0.0
270370607272.0,271390802032.0,3.0,0.0
270030511011.0,270030512012.0,8.0,0.0
270370607332.0,270370607171.0,8.0,0.0
270030502081.0,270030505051.0,3.0,0.0
270370608231.0,270370608191.0,2.0,0.0
270030506051.0,270530267104.0,2.0,0.0
270530246002.0,270530254032.0,2.0,0.0
270370608211.0,270370608151.0,3.0,0.0
270030508112.0,270030507063.0,6.0,0.0
271230406041.0,271230402002.0,3.0,0.0
270370607112.0,271390801001.0,5.0,0.0
271230424011.0,271630709071.0,4.0,0.0
270530267105.0,270530268076.0,7.0,0.0
270370608211.0,270370608152.0,5.0,0.0
